Sexo;Comunidades y Ciudades Autónomas;Edad;Periodo;Total
Ambos sexos;Total Nacional;Total;2024;52,1
Ambos sexos;Total Nacional;Total;2023;51,69
Ambos sexos;Total Nacional;Total;2022;50,9
Ambos sexos;Total Nacional;Total;2021;49,68
Ambos sexos;Total Nacional;Total;2020;48,52
Ambos sexos;Total Nacional;Total;2019;50,37
Ambos sexos;Total Nacional;Total;2018;49,7
Ambos sexos;Total Nacional;Total;2017;48,7
Ambos sexos;Total Nacional;Total;2016;47,6
Ambos sexos;Total Nacional;Total;2015;46,41
Ambos sexos;Total Nacional;Total;2014;45,03
Ambos sexos;Total Nacional;Total;2013;44,36
Ambos sexos;Total Nacional;Total;2012;45,43
Ambos sexos;Total Nacional;Total;2011;47,43
Ambos sexos;Total Nacional;Total;2010;48,31
Ambos sexos;Total Nacional;Total;2009;49,43
Ambos sexos;Total Nacional;Total;2008;53,32
Ambos sexos;Total Nacional;Total;2007;54,4
Ambos sexos;Total Nacional;Total;2006;53,68
Ambos sexos;Total Nacional;Menores de 25 años;2024;27,64
Ambos sexos;Total Nacional;Menores de 25 años;2023;26,48
Ambos sexos;Total Nacional;Menores de 25 años;2022;25,62
Ambos sexos;Total Nacional;Menores de 25 años;2021;22,91
Ambos sexos;Total Nacional;Menores de 25 años;2020;20,66
Ambos sexos;Total Nacional;Menores de 25 años;2019;24,87
Ambos sexos;Total Nacional;Menores de 25 años;2018;24,26
Ambos sexos;Total Nacional;Menores de 25 años;2017;22,93
Ambos sexos;Total Nacional;Menores de 25 años;2016;20,53
Ambos sexos;Total Nacional;Menores de 25 años;2015;20,03
Ambos sexos;Total Nacional;Menores de 25 años;2014;18,53
Ambos sexos;Total Nacional;Menores de 25 años;2013;18,56
Ambos sexos;Total Nacional;Menores de 25 años;2012;20,25
Ambos sexos;Total Nacional;Menores de 25 años;2011;24,19
Ambos sexos;Total Nacional;Menores de 25 años;2010;27,43
Ambos sexos;Total Nacional;Menores de 25 años;2009;30,8
Ambos sexos;Total Nacional;Menores de 25 años;2008;39,62
Ambos sexos;Total Nacional;Menores de 25 años;2007;43,01
Ambos sexos;Total Nacional;Menores de 25 años;2006;43,28
Ambos sexos;Total Nacional;25 y más años;2024;55,25
Ambos sexos;Total Nacional;25 y más años;2023;54,85
Ambos sexos;Total Nacional;25 y más años;2022;54,01
Ambos sexos;Total Nacional;25 y más años;2021;52,9
Ambos sexos;Total Nacional;25 y más años;2020;51,89
Ambos sexos;Total Nacional;25 y más años;2019;53,4
Ambos sexos;Total Nacional;25 y más años;2018;52,68
Ambos sexos;Total Nacional;25 y más años;2017;51,69
Ambos sexos;Total Nacional;25 y más años;2016;50,73
Ambos sexos;Total Nacional;25 y más años;2015;49,47
Ambos sexos;Total Nacional;25 y más años;2014;48,14
Ambos sexos;Total Nacional;25 y más años;2013;47,43
Ambos sexos;Total Nacional;25 y más años;2012;48,49
Ambos sexos;Total Nacional;25 y más años;2011;50,32
Ambos sexos;Total Nacional;25 y más años;2010;50,99
Ambos sexos;Total Nacional;25 y más años;2009;51,91
Ambos sexos;Total Nacional;25 y más años;2008;55,2
Ambos sexos;Total Nacional;25 y más años;2007;56,01
Ambos sexos;Total Nacional;25 y más años;2006;55,2
Ambos sexos;Total Nacional;De 16 a 19 años;2024;9,13
Ambos sexos;Total Nacional;De 16 a 19 años;2023;8,24
Ambos sexos;Total Nacional;De 16 a 19 años;2022;7,98
Ambos sexos;Total Nacional;De 16 a 19 años;2021;6,58
Ambos sexos;Total Nacional;De 16 a 19 años;2020;5,54
Ambos sexos;Total Nacional;De 16 a 19 años;2019;8,02
Ambos sexos;Total Nacional;De 16 a 19 años;2018;7,36
Ambos sexos;Total Nacional;De 16 a 19 años;2017;6,63
Ambos sexos;Total Nacional;De 16 a 19 años;2016;5,49
Ambos sexos;Total Nacional;De 16 a 19 años;2015;4,87
Ambos sexos;Total Nacional;De 16 a 19 años;2014;4,64
Ambos sexos;Total Nacional;De 16 a 19 años;2013;4,32
Ambos sexos;Total Nacional;De 16 a 19 años;2012;4,79
Ambos sexos;Total Nacional;De 16 a 19 años;2011;6,94
Ambos sexos;Total Nacional;De 16 a 19 años;2010;8,33
Ambos sexos;Total Nacional;De 16 a 19 años;2009;11,06
Ambos sexos;Total Nacional;De 16 a 19 años;2008;17,65
Ambos sexos;Total Nacional;De 16 a 19 años;2007;21,3
Ambos sexos;Total Nacional;De 16 a 19 años;2006;20,77
Ambos sexos;Total Nacional;De 20 a 24 años;2024;42,59
Ambos sexos;Total Nacional;De 20 a 24 años;2023;41,09
Ambos sexos;Total Nacional;De 20 a 24 años;2022;39,95
Ambos sexos;Total Nacional;De 20 a 24 años;2021;36,13
Ambos sexos;Total Nacional;De 20 a 24 años;2020;32,96
Ambos sexos;Total Nacional;De 20 a 24 años;2019;38,59
Ambos sexos;Total Nacional;De 20 a 24 años;2018;37,91
Ambos sexos;Total Nacional;De 20 a 24 años;2017;35,88
Ambos sexos;Total Nacional;De 20 a 24 años;2016;32,18
Ambos sexos;Total Nacional;De 20 a 24 años;2015;31,43
Ambos sexos;Total Nacional;De 20 a 24 años;2014;28,72
Ambos sexos;Total Nacional;De 20 a 24 años;2013;28,82
Ambos sexos;Total Nacional;De 20 a 24 años;2012;31,29
Ambos sexos;Total Nacional;De 20 a 24 años;2011;36,42
Ambos sexos;Total Nacional;De 20 a 24 años;2010;40,81
Ambos sexos;Total Nacional;De 20 a 24 años;2009;44,38
Ambos sexos;Total Nacional;De 20 a 24 años;2008;54,4
Ambos sexos;Total Nacional;De 20 a 24 años;2007;57,38
Ambos sexos;Total Nacional;De 20 a 24 años;2006;57,94
Ambos sexos;Total Nacional;De 25 a 54 años;2024;78,67
Ambos sexos;Total Nacional;De 25 a 54 años;2023;78,03
Ambos sexos;Total Nacional;De 25 a 54 años;2022;76,78
Ambos sexos;Total Nacional;De 25 a 54 años;2021;75,01
Ambos sexos;Total Nacional;De 25 a 54 años;2020;73,1
Ambos sexos;Total Nacional;De 25 a 54 años;2019;75,75
Ambos sexos;Total Nacional;De 25 a 54 años;2018;74,67
Ambos sexos;Total Nacional;De 25 a 54 años;2017;73,17
Ambos sexos;Total Nacional;De 25 a 54 años;2016;71,49
Ambos sexos;Total Nacional;De 25 a 54 años;2015;69,39
Ambos sexos;Total Nacional;De 25 a 54 años;2014;67,41
Ambos sexos;Total Nacional;De 25 a 54 años;2013;65,84
Ambos sexos;Total Nacional;De 25 a 54 años;2012;66,69
Ambos sexos;Total Nacional;De 25 a 54 años;2011;69,07
Ambos sexos;Total Nacional;De 25 a 54 años;2010;69,96
Ambos sexos;Total Nacional;De 25 a 54 años;2009;70,96
Ambos sexos;Total Nacional;De 25 a 54 años;2008;75,56
Ambos sexos;Total Nacional;De 25 a 54 años;2007;77,11
Ambos sexos;Total Nacional;De 25 a 54 años;2006;76,14
Ambos sexos;Total Nacional;De 55 y más años;2024;27,25
Ambos sexos;Total Nacional;De 55 y más años;2023;26,58
Ambos sexos;Total Nacional;De 55 y más años;2022;25,78
Ambos sexos;Total Nacional;De 55 y más años;2021;24,83
Ambos sexos;Total Nacional;De 55 y más años;2020;24,22
Ambos sexos;Total Nacional;De 55 y más años;2019;23,5
Ambos sexos;Total Nacional;De 55 y más años;2018;22,52
Ambos sexos;Total Nacional;De 55 y más años;2017;21,61
Ambos sexos;Total Nacional;De 55 y más años;2016;20,84
Ambos sexos;Total Nacional;De 55 y más años;2015;19,8
Ambos sexos;Total Nacional;De 55 y más años;2014;18,59
Ambos sexos;Total Nacional;De 55 y más años;2013;18,22
Ambos sexos;Total Nacional;De 55 y más años;2012;18,65
Ambos sexos;Total Nacional;De 55 y más años;2011;18,82
Ambos sexos;Total Nacional;De 55 y más años;2010;18,49
Ambos sexos;Total Nacional;De 55 y más años;2009;18,75
Ambos sexos;Total Nacional;De 55 y más años;2008;19,45
Ambos sexos;Total Nacional;De 55 y más años;2007;18,94
Ambos sexos;Total Nacional;De 55 y más años;2006;18,62
Ambos sexos;01 Andalucía;Total;2024;47,45
Ambos sexos;01 Andalucía;Total;2023;46,82
Ambos sexos;01 Andalucía;Total;2022;45,81
Ambos sexos;01 Andalucía;Total;2021;44,54
Ambos sexos;01 Andalucía;Total;2020;43,03
Ambos sexos;01 Andalucía;Total;2019;44,76
Ambos sexos;01 Andalucía;Total;2018;43,81
Ambos sexos;01 Andalucía;Total;2017;42,72
Ambos sexos;01 Andalucía;Total;2016;41,12
Ambos sexos;01 Andalucía;Total;2015;40,23
Ambos sexos;01 Andalucía;Total;2014;38,37
Ambos sexos;01 Andalucía;Total;2013;37,5
Ambos sexos;01 Andalucía;Total;2012;38,76
Ambos sexos;01 Andalucía;Total;2011;40,97
Ambos sexos;01 Andalucía;Total;2010;42,33
Ambos sexos;01 Andalucía;Total;2009;43,51
Ambos sexos;01 Andalucía;Total;2008;47,34
Ambos sexos;01 Andalucía;Total;2007;49,2
Ambos sexos;01 Andalucía;Total;2006;48,49
Ambos sexos;01 Andalucía;Menores de 25 años;2024;21,05
Ambos sexos;01 Andalucía;Menores de 25 años;2023;20,83
Ambos sexos;01 Andalucía;Menores de 25 años;2022;21,27
Ambos sexos;01 Andalucía;Menores de 25 años;2021;18,58
Ambos sexos;01 Andalucía;Menores de 25 años;2020;15,61
Ambos sexos;01 Andalucía;Menores de 25 años;2019;20,36
Ambos sexos;01 Andalucía;Menores de 25 años;2018;18,46
Ambos sexos;01 Andalucía;Menores de 25 años;2017;18,15
Ambos sexos;01 Andalucía;Menores de 25 años;2016;14,78
Ambos sexos;01 Andalucía;Menores de 25 años;2015;16,53
Ambos sexos;01 Andalucía;Menores de 25 años;2014;15,36
Ambos sexos;01 Andalucía;Menores de 25 años;2013;14,02
Ambos sexos;01 Andalucía;Menores de 25 años;2012;16,4
Ambos sexos;01 Andalucía;Menores de 25 años;2011;20,81
Ambos sexos;01 Andalucía;Menores de 25 años;2010;23,49
Ambos sexos;01 Andalucía;Menores de 25 años;2009;26,62
Ambos sexos;01 Andalucía;Menores de 25 años;2008;36,62
Ambos sexos;01 Andalucía;Menores de 25 años;2007;40,3
Ambos sexos;01 Andalucía;Menores de 25 años;2006;41,06
Ambos sexos;01 Andalucía;25 y más años;2024;51,09
Ambos sexos;01 Andalucía;25 y más años;2023;50,3
Ambos sexos;01 Andalucía;25 y más años;2022;49,06
Ambos sexos;01 Andalucía;25 y más años;2021;47,93
Ambos sexos;01 Andalucía;25 y más años;2020;46,63
Ambos sexos;01 Andalucía;25 y más años;2019;47,94
Ambos sexos;01 Andalucía;25 y más años;2018;47,1
Ambos sexos;01 Andalucía;25 y más años;2017;45,93
Ambos sexos;01 Andalucía;25 y más años;2016;44,6
Ambos sexos;01 Andalucía;25 y más años;2015;43,42
Ambos sexos;01 Andalucía;25 y más años;2014;41,52
Ambos sexos;01 Andalucía;25 y más años;2013;40,79
Ambos sexos;01 Andalucía;25 y más años;2012;41,97
Ambos sexos;01 Andalucía;25 y más años;2011;43,95
Ambos sexos;01 Andalucía;25 y más años;2010;45,2
Ambos sexos;01 Andalucía;25 y más años;2009;46,16
Ambos sexos;01 Andalucía;25 y más años;2008;49,08
Ambos sexos;01 Andalucía;25 y más años;2007;50,69
Ambos sexos;01 Andalucía;25 y más años;2006;49,77
Ambos sexos;01 Andalucía;De 16 a 19 años;2024;7,84
Ambos sexos;01 Andalucía;De 16 a 19 años;2023;5,83
Ambos sexos;01 Andalucía;De 16 a 19 años;2022;5,88
Ambos sexos;01 Andalucía;De 16 a 19 años;2021;4,78
Ambos sexos;01 Andalucía;De 16 a 19 años;2020;4
Ambos sexos;01 Andalucía;De 16 a 19 años;2019;6,51
Ambos sexos;01 Andalucía;De 16 a 19 años;2018;5,78
Ambos sexos;01 Andalucía;De 16 a 19 años;2017;5,29
Ambos sexos;01 Andalucía;De 16 a 19 años;2016;3,67
Ambos sexos;01 Andalucía;De 16 a 19 años;2015;3,84
Ambos sexos;01 Andalucía;De 16 a 19 años;2014;4,19
Ambos sexos;01 Andalucía;De 16 a 19 años;2013;3,56
Ambos sexos;01 Andalucía;De 16 a 19 años;2012;4,16
Ambos sexos;01 Andalucía;De 16 a 19 años;2011;6,72
Ambos sexos;01 Andalucía;De 16 a 19 años;2010;7,27
Ambos sexos;01 Andalucía;De 16 a 19 años;2009;10,1
Ambos sexos;01 Andalucía;De 16 a 19 años;2008;17,87
Ambos sexos;01 Andalucía;De 16 a 19 años;2007;21,91
Ambos sexos;01 Andalucía;De 16 a 19 años;2006;21,91
Ambos sexos;01 Andalucía;De 20 a 24 años;2024;32,37
Ambos sexos;01 Andalucía;De 20 a 24 años;2023;33,28
Ambos sexos;01 Andalucía;De 20 a 24 años;2022;34,12
Ambos sexos;01 Andalucía;De 20 a 24 años;2021;29,86
Ambos sexos;01 Andalucía;De 20 a 24 años;2020;25,22
Ambos sexos;01 Andalucía;De 20 a 24 años;2019;31,79
Ambos sexos;01 Andalucía;De 20 a 24 años;2018;28,78
Ambos sexos;01 Andalucía;De 20 a 24 años;2017;28,36
Ambos sexos;01 Andalucía;De 20 a 24 años;2016;23,31
Ambos sexos;01 Andalucía;De 20 a 24 años;2015;25,91
Ambos sexos;01 Andalucía;De 20 a 24 años;2014;23,43
Ambos sexos;01 Andalucía;De 20 a 24 años;2013;21,52
Ambos sexos;01 Andalucía;De 20 a 24 años;2012;25,24
Ambos sexos;01 Andalucía;De 20 a 24 años;2011;31,12
Ambos sexos;01 Andalucía;De 20 a 24 años;2010;35,46
Ambos sexos;01 Andalucía;De 20 a 24 años;2009;38,78
Ambos sexos;01 Andalucía;De 20 a 24 años;2008;50,2
Ambos sexos;01 Andalucía;De 20 a 24 años;2007;53,38
Ambos sexos;01 Andalucía;De 20 a 24 años;2006;54,43
Ambos sexos;01 Andalucía;De 25 a 54 años;2024;72,49
Ambos sexos;01 Andalucía;De 25 a 54 años;2023;71,31
Ambos sexos;01 Andalucía;De 25 a 54 años;2022;69,28
Ambos sexos;01 Andalucía;De 25 a 54 años;2021;67,04
Ambos sexos;01 Andalucía;De 25 a 54 años;2020;64,77
Ambos sexos;01 Andalucía;De 25 a 54 años;2019;66,68
Ambos sexos;01 Andalucía;De 25 a 54 años;2018;65,59
Ambos sexos;01 Andalucía;De 25 a 54 años;2017;63,67
Ambos sexos;01 Andalucía;De 25 a 54 años;2016;61,31
Ambos sexos;01 Andalucía;De 25 a 54 años;2015;59,65
Ambos sexos;01 Andalucía;De 25 a 54 años;2014;57,05
Ambos sexos;01 Andalucía;De 25 a 54 años;2013;55,84
Ambos sexos;01 Andalucía;De 25 a 54 años;2012;57,24
Ambos sexos;01 Andalucía;De 25 a 54 años;2011;59,46
Ambos sexos;01 Andalucía;De 25 a 54 años;2010;61,15
Ambos sexos;01 Andalucía;De 25 a 54 años;2009;62,33
Ambos sexos;01 Andalucía;De 25 a 54 años;2008;66,63
Ambos sexos;01 Andalucía;De 25 a 54 años;2007;69,01
Ambos sexos;01 Andalucía;De 25 a 54 años;2006;67,88
Ambos sexos;01 Andalucía;De 55 y más años;2024;24,42
Ambos sexos;01 Andalucía;De 55 y más años;2023;23,3
Ambos sexos;01 Andalucía;De 55 y más años;2022;22,36
Ambos sexos;01 Andalucía;De 55 y más años;2021;21,89
Ambos sexos;01 Andalucía;De 55 y más años;2020;21,21
Ambos sexos;01 Andalucía;De 55 y más años;2019;20,77
Ambos sexos;01 Andalucía;De 55 y más años;2018;19,39
Ambos sexos;01 Andalucía;De 55 y más años;2017;18,64
Ambos sexos;01 Andalucía;De 55 y más años;2016;18,11
Ambos sexos;01 Andalucía;De 55 y más años;2015;16,72
Ambos sexos;01 Andalucía;De 55 y más años;2014;15,21
Ambos sexos;01 Andalucía;De 55 y más años;2013;14,48
Ambos sexos;01 Andalucía;De 55 y más años;2012;14,44
Ambos sexos;01 Andalucía;De 55 y más años;2011;15,38
Ambos sexos;01 Andalucía;De 55 y más años;2010;15,32
Ambos sexos;01 Andalucía;De 55 y más años;2009;15,48
Ambos sexos;01 Andalucía;De 55 y más años;2008;15,5
Ambos sexos;01 Andalucía;De 55 y más años;2007;15,51
Ambos sexos;01 Andalucía;De 55 y más años;2006;15,05
Ambos sexos;02 Aragón;Total;2024;53,97
Ambos sexos;02 Aragón;Total;2023;53,56
Ambos sexos;02 Aragón;Total;2022;53,07
Ambos sexos;02 Aragón;Total;2021;52,35
Ambos sexos;02 Aragón;Total;2020;51,31
Ambos sexos;02 Aragón;Total;2019;53,27
Ambos sexos;02 Aragón;Total;2018;52,43
Ambos sexos;02 Aragón;Total;2017;51,75
Ambos sexos;02 Aragón;Total;2016;50,59
Ambos sexos;02 Aragón;Total;2015;49,2
Ambos sexos;02 Aragón;Total;2014;47,03
Ambos sexos;02 Aragón;Total;2013;46,43
Ambos sexos;02 Aragón;Total;2012;48,9
Ambos sexos;02 Aragón;Total;2011;49,02
Ambos sexos;02 Aragón;Total;2010;50,01
Ambos sexos;02 Aragón;Total;2009;51,73
Ambos sexos;02 Aragón;Total;2008;55,57
Ambos sexos;02 Aragón;Total;2007;56,28
Ambos sexos;02 Aragón;Total;2006;54,04
Ambos sexos;02 Aragón;Menores de 25 años;2024;30,38
Ambos sexos;02 Aragón;Menores de 25 años;2023;27,81
Ambos sexos;02 Aragón;Menores de 25 años;2022;28,03
Ambos sexos;02 Aragón;Menores de 25 años;2021;27,32
Ambos sexos;02 Aragón;Menores de 25 años;2020;26,62
Ambos sexos;02 Aragón;Menores de 25 años;2019;26,91
Ambos sexos;02 Aragón;Menores de 25 años;2018;26,21
Ambos sexos;02 Aragón;Menores de 25 años;2017;26,15
Ambos sexos;02 Aragón;Menores de 25 años;2016;24,39
Ambos sexos;02 Aragón;Menores de 25 años;2015;21,94
Ambos sexos;02 Aragón;Menores de 25 años;2014;18,66
Ambos sexos;02 Aragón;Menores de 25 años;2013;20,9
Ambos sexos;02 Aragón;Menores de 25 años;2012;24,26
Ambos sexos;02 Aragón;Menores de 25 años;2011;25,36
Ambos sexos;02 Aragón;Menores de 25 años;2010;30,26
Ambos sexos;02 Aragón;Menores de 25 años;2009;31,44
Ambos sexos;02 Aragón;Menores de 25 años;2008;41,02
Ambos sexos;02 Aragón;Menores de 25 años;2007;44,19
Ambos sexos;02 Aragón;Menores de 25 años;2006;44,37
Ambos sexos;02 Aragón;25 y más años;2024;56,88
Ambos sexos;02 Aragón;25 y más años;2023;56,64
Ambos sexos;02 Aragón;25 y más años;2022;56,04
Ambos sexos;02 Aragón;25 y más años;2021;55,22
Ambos sexos;02 Aragón;25 y más años;2020;54,16
Ambos sexos;02 Aragón;25 y más años;2019;56,24
Ambos sexos;02 Aragón;25 y más años;2018;55,32
Ambos sexos;02 Aragón;25 y más años;2017;54,52
Ambos sexos;02 Aragón;25 y más años;2016;53,4
Ambos sexos;02 Aragón;25 y más años;2015;52,12
Ambos sexos;02 Aragón;25 y más años;2014;50,09
Ambos sexos;02 Aragón;25 y más años;2013;49,23
Ambos sexos;02 Aragón;25 y más años;2012;51,66
Ambos sexos;02 Aragón;25 y más años;2011;51,73
Ambos sexos;02 Aragón;25 y más años;2010;52,34
Ambos sexos;02 Aragón;25 y más años;2009;54,2
Ambos sexos;02 Aragón;25 y más años;2008;57,38
Ambos sexos;02 Aragón;25 y más años;2007;57,8
Ambos sexos;02 Aragón;25 y más años;2006;55,27
Ambos sexos;02 Aragón;De 16 a 19 años;2024;9,63
Ambos sexos;02 Aragón;De 16 a 19 años;2023;7,26
Ambos sexos;02 Aragón;De 16 a 19 años;2022;12,04
Ambos sexos;02 Aragón;De 16 a 19 años;2021;9,18
Ambos sexos;02 Aragón;De 16 a 19 años;2020;7,79
Ambos sexos;02 Aragón;De 16 a 19 años;2019;9,11
Ambos sexos;02 Aragón;De 16 a 19 años;2018;9,22
Ambos sexos;02 Aragón;De 16 a 19 años;2017;7,79
Ambos sexos;02 Aragón;De 16 a 19 años;2016;5,72
Ambos sexos;02 Aragón;De 16 a 19 años;2015;6,05
Ambos sexos;02 Aragón;De 16 a 19 años;2014;5,17
Ambos sexos;02 Aragón;De 16 a 19 años;2013;3,08
Ambos sexos;02 Aragón;De 16 a 19 años;2012;3,33
Ambos sexos;02 Aragón;De 16 a 19 años;2011;5,03
Ambos sexos;02 Aragón;De 16 a 19 años;2010;9,85
Ambos sexos;02 Aragón;De 16 a 19 años;2009;14,1
Ambos sexos;02 Aragón;De 16 a 19 años;2008;18,72
Ambos sexos;02 Aragón;De 16 a 19 años;2007;22,14
Ambos sexos;02 Aragón;De 16 a 19 años;2006;19,41
Ambos sexos;02 Aragón;De 20 a 24 años;2024;47,28
Ambos sexos;02 Aragón;De 20 a 24 años;2023;44,15
Ambos sexos;02 Aragón;De 20 a 24 años;2022;41,21
Ambos sexos;02 Aragón;De 20 a 24 años;2021;41,77
Ambos sexos;02 Aragón;De 20 a 24 años;2020;42,11
Ambos sexos;02 Aragón;De 20 a 24 años;2019;41,48
Ambos sexos;02 Aragón;De 20 a 24 años;2018;40,02
Ambos sexos;02 Aragón;De 20 a 24 años;2017;40,95
Ambos sexos;02 Aragón;De 20 a 24 años;2016;39,19
Ambos sexos;02 Aragón;De 20 a 24 años;2015;34,22
Ambos sexos;02 Aragón;De 20 a 24 años;2014;28,85
Ambos sexos;02 Aragón;De 20 a 24 años;2013;33,99
Ambos sexos;02 Aragón;De 20 a 24 años;2012;39,27
Ambos sexos;02 Aragón;De 20 a 24 años;2011;39,62
Ambos sexos;02 Aragón;De 20 a 24 años;2010;44,19
Ambos sexos;02 Aragón;De 20 a 24 años;2009;42,91
Ambos sexos;02 Aragón;De 20 a 24 años;2008;55,62
Ambos sexos;02 Aragón;De 20 a 24 años;2007;58,62
Ambos sexos;02 Aragón;De 20 a 24 años;2006;60,63
Ambos sexos;02 Aragón;De 25 a 54 años;2024;83,77
Ambos sexos;02 Aragón;De 25 a 54 años;2023;83,26
Ambos sexos;02 Aragón;De 25 a 54 años;2022;81,85
Ambos sexos;02 Aragón;De 25 a 54 años;2021;80,87
Ambos sexos;02 Aragón;De 25 a 54 años;2020;78,5
Ambos sexos;02 Aragón;De 25 a 54 años;2019;82,02
Ambos sexos;02 Aragón;De 25 a 54 años;2018;80,83
Ambos sexos;02 Aragón;De 25 a 54 años;2017;79,38
Ambos sexos;02 Aragón;De 25 a 54 años;2016;76,91
Ambos sexos;02 Aragón;De 25 a 54 años;2015;74,91
Ambos sexos;02 Aragón;De 25 a 54 años;2014;72,73
Ambos sexos;02 Aragón;De 25 a 54 años;2013;71,08
Ambos sexos;02 Aragón;De 25 a 54 años;2012;73,21
Ambos sexos;02 Aragón;De 25 a 54 años;2011;73,18
Ambos sexos;02 Aragón;De 25 a 54 años;2010;74,44
Ambos sexos;02 Aragón;De 25 a 54 años;2009;76,77
Ambos sexos;02 Aragón;De 25 a 54 años;2008;81,79
Ambos sexos;02 Aragón;De 25 a 54 años;2007;83,71
Ambos sexos;02 Aragón;De 25 a 54 años;2006;80,67
Ambos sexos;02 Aragón;De 55 y más años;2024;27,81
Ambos sexos;02 Aragón;De 55 y más años;2023;27,24
Ambos sexos;02 Aragón;De 55 y más años;2022;27,08
Ambos sexos;02 Aragón;De 55 y más años;2021;25,83
Ambos sexos;02 Aragón;De 55 y más años;2020;25,45
Ambos sexos;02 Aragón;De 55 y más años;2019;25,22
Ambos sexos;02 Aragón;De 55 y más años;2018;24,07
Ambos sexos;02 Aragón;De 55 y más años;2017;23,4
Ambos sexos;02 Aragón;De 55 y más años;2016;23,1
Ambos sexos;02 Aragón;De 55 y más años;2015;21,65
Ambos sexos;02 Aragón;De 55 y más años;2014;18,96
Ambos sexos;02 Aragón;De 55 y más años;2013;18,31
Ambos sexos;02 Aragón;De 55 y más años;2012;20,32
Ambos sexos;02 Aragón;De 55 y más años;2011;19,87
Ambos sexos;02 Aragón;De 55 y más años;2010;18,94
Ambos sexos;02 Aragón;De 55 y más años;2009;19,61
Ambos sexos;02 Aragón;De 55 y más años;2008;19,85
Ambos sexos;02 Aragón;De 55 y más años;2007;18,49
Ambos sexos;02 Aragón;De 55 y más años;2006;17,39
Ambos sexos;03 Asturias, Principado de;Total;2024;46,2
Ambos sexos;03 Asturias, Principado de;Total;2023;44,01
Ambos sexos;03 Asturias, Principado de;Total;2022;43,24
Ambos sexos;03 Asturias, Principado de;Total;2021;44,19
Ambos sexos;03 Asturias, Principado de;Total;2020;42,96
Ambos sexos;03 Asturias, Principado de;Total;2019;43,5
Ambos sexos;03 Asturias, Principado de;Total;2018;43,86
Ambos sexos;03 Asturias, Principado de;Total;2017;43,89
Ambos sexos;03 Asturias, Principado de;Total;2016;42,58
Ambos sexos;03 Asturias, Principado de;Total;2015;41,23
Ambos sexos;03 Asturias, Principado de;Total;2014;40,88
Ambos sexos;03 Asturias, Principado de;Total;2013;39,78
Ambos sexos;03 Asturias, Principado de;Total;2012;40,88
Ambos sexos;03 Asturias, Principado de;Total;2011;42,61
Ambos sexos;03 Asturias, Principado de;Total;2010;43,59
Ambos sexos;03 Asturias, Principado de;Total;2009;44,99
Ambos sexos;03 Asturias, Principado de;Total;2008;48,19
Ambos sexos;03 Asturias, Principado de;Total;2007;46,29
Ambos sexos;03 Asturias, Principado de;Total;2006;45,42
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2024;21,49
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2023;20,56
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2022;17,83
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2021;18,27
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2020;15,98
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2019;19,7
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2018;16,36
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2017;17,74
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2016;15,95
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2015;16,69
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2014;17,01
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2013;15,5
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2012;16,56
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2011;18,02
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2010;22,89
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2009;29,11
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2008;35,98
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2007;34,42
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2006;33,43
Ambos sexos;03 Asturias, Principado de;25 y más años;2024;48,49
Ambos sexos;03 Asturias, Principado de;25 y más años;2023;46,17
Ambos sexos;03 Asturias, Principado de;25 y más años;2022;45,49
Ambos sexos;03 Asturias, Principado de;25 y más años;2021;46,34
Ambos sexos;03 Asturias, Principado de;25 y más años;2020;45,27
Ambos sexos;03 Asturias, Principado de;25 y más años;2019;45,51
Ambos sexos;03 Asturias, Principado de;25 y más años;2018;46,14
Ambos sexos;03 Asturias, Principado de;25 y más años;2017;46,04
Ambos sexos;03 Asturias, Principado de;25 y más años;2016;44,77
Ambos sexos;03 Asturias, Principado de;25 y más años;2015;43,26
Ambos sexos;03 Asturias, Principado de;25 y más años;2014;42,88
Ambos sexos;03 Asturias, Principado de;25 y más años;2013;41,86
Ambos sexos;03 Asturias, Principado de;25 y más años;2012;43,03
Ambos sexos;03 Asturias, Principado de;25 y más años;2011;44,87
Ambos sexos;03 Asturias, Principado de;25 y más años;2010;45,57
Ambos sexos;03 Asturias, Principado de;25 y más años;2009;46,58
Ambos sexos;03 Asturias, Principado de;25 y más años;2008;49,47
Ambos sexos;03 Asturias, Principado de;25 y más años;2007;47,58
